team,away_win_rate,away_draw_rate,away_loss_rate
Abkhazia,30.0,50.0,20.0
Afghanistan,18.556701030927837,22.68041237113402,58.76288659793815
Albania,17.02127659574468,19.148936170212767,63.829787234042556
Alderney,4.597701149425287,1.1494252873563218,94.25287356321839
Algeria,30.681818181818183,29.924242424242426,39.39393939393939
Ambazonia,0.0,16.666666666666664,83.33333333333334
American Samoa,3.3333333333333335,0.0,96.66666666666667
Andalusia,100.0,0.0,0.0
Andorra,1.7543859649122806,13.157894736842104,85.08771929824562
Angola,20.476190476190474,38.57142857142858,40.95238095238095
Anguilla,8.19672131147541,8.19672131147541,83.60655737704919
Antigua and Barbuda,18.81188118811881,17.82178217821782,63.366336633663366
Arameans Suryoye,57.14285714285714,14.285714285714285,28.57142857142857
Argentina,39.6551724137931,28.23275862068966,32.112068965517246
Armenia,16.546762589928058,17.985611510791365,65.46762589928058
Artsakh,50.0,25.0,25.0
Aruba,11.688311688311687,22.07792207792208,66.23376623376623
Asturias,100.0,0.0,0.0
Australia,42.023346303501945,24.90272373540856,33.07392996108949
Austria,32.418952618453865,24.438902743142144,43.14214463840399
Aymara,0.0,0.0,100.0
Azerbaijan,13.291139240506327,20.253164556962027,66.45569620253164
Bahamas,12.5,12.5,75.0
Bahrain,27.896995708154503,26.180257510729614,45.92274678111588
Bangladesh,19.58041958041958,16.783216783216783,63.63636363636363
Barawa,0.0,0.0,100.0
Barbados,24.0,14.399999999999999,61.6
Basque Country,55.172413793103445,20.689655172413794,24.137931034482758
Belarus,25.882352941176475,22.35294117647059,51.76470588235295
Belgium,33.583959899749374,24.31077694235589,42.10526315789473
Belize,15.151515151515152,18.181818181818183,66.66666666666666
Benin,12.962962962962962,20.98765432098765,66.0493827160494
Bermuda,25.581395348837212,13.953488372093023,60.46511627906976
Bhutan,4.0,4.0,92.0
Biafra,100.0,0.0,0.0
Bolivia,8.333333333333332,19.318181818181817,72.34848484848484
Bonaire,40.0,4.0,56.00000000000001
Bosnia and Herzegovina,30.87248322147651,22.818791946308725,46.308724832214764
Botswana,16.7741935483871,29.677419354838708,53.5483870967742
Brazil,52.46636771300448,22.869955156950674,24.663677130044842
British Virgin Islands,12.32876712328767,17.80821917808219,69.86301369863014
Brittany,33.33333333333333,33.33333333333333,33.33333333333333
Brunei,7.142857142857142,8.333333333333332,84.52380952380952
Bulgaria,25.853658536585368,27.5609756097561,46.58536585365854
Burkina Faso,21.774193548387096,25.0,53.2258064516129
Burundi,20.833333333333336,24.166666666666668,55.00000000000001
Cambodia,9.219858156028367,9.219858156028367,81.56028368794325
Cameroon,30.312499999999996,35.9375,33.75
Canada,30.19607843137255,24.313725490196077,45.490196078431374
Cape Verde,25.217391304347824,25.217391304347824,49.56521739130435
Cascadia,40.0,20.0,40.0
Catalonia,11.11111111111111,22.22222222222222,66.66666666666666
Cayman Islands,6.25,20.833333333333336,72.91666666666666
Central African Republic,7.462686567164178,13.432835820895523,79.1044776119403
Central Spain,0.0,0.0,100.0
Chad,10.0,21.428571428571427,68.57142857142857
Chagos Islands,20.0,10.0,70.0
Chameria,20.0,40.0,40.0
Chechnya,0.0,0.0,100.0
Chile,21.813725490196077,24.019607843137255,54.166666666666664
China,35.76158940397351,22.8476821192053,41.390728476821195
Cilento,0.0,0.0,100.0
Colombia,30.33033033033033,32.432432432432435,37.23723723723724
Comoros,20.238095238095237,13.095238095238097,66.66666666666666
Congo,19.21182266009852,25.12315270935961,55.66502463054187
Cook Islands,15.625,6.25,78.125
Corsica,100.0,0.0,0.0
Costa Rica,26.38888888888889,26.666666666666668,46.94444444444444
County of Nice,80.0,0.0,20.0
Crimea,60.0,0.0,40.0
Croatia,45.14563106796117,27.184466019417474,27.669902912621357
Cuba,27.350427350427353,20.94017094017094,51.70940170940172
Curaçao,27.363184079601986,23.88059701492537,48.756218905472636
Cyprus,10.416666666666668,11.979166666666668,77.60416666666666
Czech Republic,40.54054054054054,27.027027027027028,32.432432432432435
Czechoslovakia,31.54121863799283,23.655913978494624,44.80286738351255
DR Congo,26.973684210526315,33.223684210526315,39.80263157894737
Darfur,0.0,0.0,100.0
Denmark,36.0655737704918,22.01405152224824,41.92037470725995
Djibouti,1.6666666666666667,6.666666666666667,91.66666666666666
Dominica,15.841584158415841,19.801980198019802,64.35643564356435
Dominican Republic,26.76056338028169,14.084507042253522,59.154929577464785
Donetsk PR,25.0,25.0,50.0
East Turkestan,40.0,0.0,60.0
Ecuador,18.32298136645963,27.639751552795033,54.037267080745345
