team,home_goal_difference,away_goal_difference
Abkhazia,1.2608695652173911,-0.10000000000000009
Afghanistan,-0.3125,-1.3608247422680413
Albania,0.03809523809523796,-1.1702127659574468
Alderney,-3.7291666666666665,-4.2298850574712645
Algeria,1.0762711864406782,-0.1717557251908397
Ambazonia,,-2.3333333333333335
American Samoa,-5.32,-6.366666666666666
Andalusia,0.8333333333333335,1.0
Andorra,-1.5913043478260869,-2.5
Angola,0.5784313725490197,-0.3761904761904761
Anguilla,-2.2333333333333334,-3.7704918032786887
Antigua and Barbuda,0.03076923076923066,-1.198019801980198
Arameans Suryoye,0.6666666666666667,0.2857142857142858
Argentina,1.4016528925619833,0.2203023758099354
Armenia,-0.40909090909090895,-1.2302158273381296
Artsakh,0.4285714285714284,3.75
Aruba,-0.5733333333333333,-1.4935064935064934
Asturias,,2.0
Australia,1.3006134969325152,0.4862745098039216
Austria,0.7071583514099782,-0.2506265664160401
Aymara,-1.0,-2.0
Azerbaijan,-0.3112582781456954,-1.4936708860759493
Bahamas,-1.2857142857142858,-2.90625
Bahrain,0.27635327635327633,-0.5493562231759658
Bangladesh,-0.4012345679012346,-1.5034965034965033
Barawa,-2.2727272727272725,-5.0
Barbados,-0.02259887005649719,-1.0400000000000003
Basque Country,1.4857142857142855,0.7931034482758621
Belarus,-0.01388888888888884,-0.5823529411764705
Belgium,0.8021978021978022,-0.2638190954773869
Belize,-0.19999999999999996,-1.3484848484848482
Benin,0.012345679012345734,-1.2777777777777777
Bermuda,0.25,-0.569767441860465
Bhutan,-1.6857142857142855,-3.7600000000000002
Biafra,0.0,1.0
Bolivia,-0.18587360594795532,-1.7121212121212124
Bonaire,-1.3157894736842104,-0.8399999999999999
Bosnia and Herzegovina,0.33823529411764697,-0.3129251700680271
Botswana,-0.14124293785310726,-0.8580645161290322
Brazil,1.6449511400651469,0.7595505617977527
British Virgin Islands,-0.9200000000000002,-2.767123287671233
Brittany,0.2222222222222221,0.3333333333333335
Brunei,-1.8113207547169812,-2.928571428571429
Bulgaria,0.4570552147239264,-0.5804878048780486
Burkina Faso,0.5720930232558139,-0.6451612903225806
Burundi,0.23469387755102045,-0.6749999999999999
Cambodia,-0.4509803921568627,-2.574468085106383
Cameroon,0.8952702702702703,-0.12187499999999996
Canada,0.4299065420560746,-0.3764705882352941
Canary Islands,2.0,
Cape Verde,0.47540983606557374,-0.5752212389380531
Cascadia,3.5,0.3999999999999999
Catalonia,0.2564102564102564,-2.111111111111111
Cayman Islands,-0.9722222222222223,-2.2083333333333335
Central African Republic,-0.08571428571428563,-1.6119402985074627
Central Spain,1.0,-3.0
Chad,-0.25,-1.4857142857142858
Chagos Islands,-3.0,-2.9999999999999996
Chameria,3.0,0.0
Chechnya,0.0,-13.0
Chile,0.6713615023474178,-0.7279411764705882
China,1.2155388471177946,0.10596026490066213
Cilento,,-2.0
Colombia,0.5228758169934641,-0.219879518072289
Comoros,-0.13636363636363646,-1.2142857142857142
Congo,0.4433497536945812,-0.8128078817733988
Cook Islands,-3.857142857142857,-4.375
Corsica,0.375,2.0
Costa Rica,1.3581267217630852,-0.3055555555555556
County of Nice,0.5,0.7999999999999998
Crimea,,-0.8000000000000003
Croatia,1.1614583333333335,0.31862745098039236
Cuba,0.7423312883435582,-0.8290598290598291
Curaçao,0.8870967741935485,-0.693467336683417
Cyprus,-0.6282051282051282,-2.109375
Czech Republic,1.254237288135593,0.2896174863387979
Czechoslovakia,1.253112033195021,-0.13978494623655924
DR Congo,0.8416289592760182,-0.10927152317880795
Darfur,-17.25,-9.666666666666666
Denmark,0.9821029082774049,-0.05854800936768134
Djibouti,-2.215686274509804,-3.566666666666667
Dominica,-0.4385964912280702,-1.3465346534653464
Dominican Republic,0.8522727272727273,-0.887323943661972
Donetsk PR,1.5,-0.5
Délvidék,0.5,
East Turkestan,,-0.20000000000000018
Ecuador,0.3111111111111111,-0.8411214953271029
Egypt,1.1959459459459458,-0.23076923076923062
El Salvador,0.3511904761904763,-1.0251798561151078
Elba Island,5.0,
Ellan Vannin,2.25,-0.5
